Year of award,Name,Film,Oscar category,Birth place,Birth date,Race/Ethnicity,Religion,Sexual orientation,Bio URL,_unit_state
1947,Fredric March,The Best Years of Our Lives,Best Actor,"Racine, Wi",31-Aug-1897,White,Na,Straight,http://www.nndb.com/people/255/000043126/,finalized
1959,Burl Ives,The Big Country,Best Supporting Actor,"Hunt City, Il",14-Jun-09,White,Na,Straight,http://www.nndb.com/people/679/000042553/,finalized
2010,Sandra Bullock,The Blind Side,Best Actress,"Arlington, Va",26-Jul-64,White,Na,Straight,http://www.nndb.com/people/601/000023532/,finalized
1958,Alec Guinness,The Bridge on the River Kwai,Best Actor,"London, England",2-Apr-14,White,Roman Catholic,Bisexual,http://www.nndb.com/people/751/000023682/,finalized
1932,Wallace Beery,The Champ,Best Actor,"Kansas City, Mo",1-Apr-1885,White,Na,Straight,http://www.nndb.com/people/976/000043847/,finalized
2000,Michael Caine,The Cider House Rules,Best Supporting Actor,"Bermondsey, England",14-Mar-33,White,Na,Straight,http://www.nndb.com/people/754/000022688/,finalized
1987,Paul Newman,The Color of Money,Best Actor,"Shaker Heights, Oh",26-Jan-25,White,Jewish,Straight,http://www.nndb.com/people/804/000022738/,finalized
2006,Rachel Weisz,The Constant Gardener,Best Supporting Actress,"London, England",7-Mar-71,White,Jewish,Straight,http://www.nndb.com/people/309/000032213/,finalized
1955,Grace Kelly,The Country Girl,Best Actress,"Philadelphia, Pa",12-Nov-29,White,Roman Catholic,Straight,http://www.nndb.com/people/770/000025695/,finalized
2009,Heath Ledger,The Dark Knight,Best Supporting Actor,"Perth, Australia",4-Apr-79,White,Na,Straight,http://www.nndb.com/people/204/000029117/,finalized
1979,Christopher Walken,The Deer Hunter,Best Supporting Actor,"Astoria, Ny",31-Mar-43,White,Na,Straight,http://www.nndb.com/people/618/000022552/,finalized
2007,Martin Scorsese,The Departed,Best Director,"Flushing, Ny",17-Nov-42,White,Roman Catholic,Straight,http://www.nndb.com/people/678/000022612/,finalized
1960,Shelley Winters,The Diary of Anne Frank,Best Supporting Actress,"St. Louis, Mo",18-Aug-20,White,Jewish,Straight,http://www.nndb.com/people/859/000022793/,finalized
1930,Frank Lloyd,The Divine Lady,Best Director,"Glasgow, Scotland",2-Feb-1886,White,Na,Straight,http://www.nndb.com/people/626/000042500/,finalized
1930,Norma Shearer,The Divorcee,Best Actress,"Montreal, Quebec, Canada",10-Aug-02,White,Na,Straight,http://www.nndb.com/people/813/000063624/,finalized
1997,Juliette Binoche,The English Patient,Best Supporting Actress,"Paris, France",9-Mar-64,White,Na,Straight,http://www.nndb.com/people/970/000025895/,finalized
1948,Loretta Young,The Farmer's Daughter,Best Actress,"Salt Lake City, Ut",6-Jan-13,White,Roman Catholic,Straight,http://www.nndb.com/people/089/000031993/,finalized
2011,Christian Bale,The Fighter,Best Supporting Actor,"Haverfordwest, Pembrokeshire, Wales",30-Jan-74,White,Na,Straight,http://www.nndb.com/people/877/000031784/,finalized
1992,Mercedes Ruehl,The Fisher King,Best Supporting Actress,"Queens, Ny",28-Feb-48,Hispanic,Roman Catholic,Straight,http://www.nndb.com/people/890/000024818/,finalized
1967,Walter Matthau,The Fortune Cookie,Best Supporting Actor,New York City,1-Oct-20,White,Jewish,Straight,http://www.nndb.com/people/768/000023699/,finalized
1972,Gene Hackman,The French Connection,Best Actor,"San Bernardino, Ca",30-Jan-30,White,Na,Straight,http://www.nndb.com/people/878/000022812/,finalized
1994,Tommy Lee Jones,The Fugitive,Best Supporting Actor,"San Saba, Tx",15-Sep-46,White,Na,Straight,http://www.nndb.com/people/530/000022464/,finalized
1973,Marlon Brando,The Godfather,Best Actor,"Omaha, Ne",3-Apr-24,White,Deist,Bisexual,http://www.nndb.com/people/721/000022655/,finalized
1975,Robert De Niro,The Godfather Part II,Best Supporting Actor,New York City,17-Aug-43,White,Roman Catholic,Straight,http://www.nndb.com/people/765/000023696/,finalized
1938,Luise Rainer,The Good Earth,Best Actress,"Dusseldorf, Germany",12-Jan-10,White,Jewish,Straight,http://www.nndb.com/people/796/000030706/,finalized
1978,Richard Dreyfuss,The Goodbye Girl,Best Actor,"Brooklyn, Ny",29-Oct-47,White,Jewish,Straight,http://www.nndb.com/people/814/000022748/,finalized
1968,Mike Nichols,The Graduate,Best Director,"Berlin, Germany",6-Nov-31,White,Jewish,Straight,http://www.nndb.com/people/455/000023386/,finalized
1941,Jane Darwell,The Grapes of Wrath,Best Supporting Actress,"Palmyra, Mo",15-Oct-1879,White,Na,Straight,http://www.nndb.com/people/078/000063886/,finalized
1942,Mary Astor,The Great Lie,Best Supporting Actress,"Quincy, Il",3-May-06,White,Roman Catholic,Straight,http://www.nndb.com/people/690/000042564/,finalized
1937,Luise Rainer,The Great Ziegfeld,Best Actress,"Dusseldorf, Germany",12-Jan-10,White,Jewish,Straight,http://www.nndb.com/people/796/000030706/,finalized
1950,Olivia de Havilland,The Heiress,Best Actress,"Tokyo, Japan",1-Jul-16,White,Na,Straight,http://www.nndb.com/people/741/000022675/,finalized
2012,Octavia Spencer,The Help,Best Supporting Actress,"Montgomery, Al",25-May-72,Black,Na,Na,http://www.nndb.com/people/304/000281458/,finalized
2003,Nicole Kidman,The Hours,Best Actress,"Honolulu, Hi",20-Jun-67,White,Roman Catholic,Straight,http://www.nndb.com/people/917/000022851/,finalized
2009,Kathryn Bigelow,The Hurt Locker,Best Director,"San Carlos, Ca",27-Nov-51,White,Na,Straight,http://www.nndb.com/people/837/000079600/,finalized
1936,Victor McLaglen,The Informer,Best Actor,"Tunbridge Wells, Kent, England",11-Dec-1883,White,Anglican/episcopalian,Straight,http://www.nndb.com/people/452/000047311/,finalized
2012,Meryl Streep,The Iron Lady,Best Actress,"Summit, Nj",22-Jun-49,White,Na,Straight,http://www.nndb.com/people/001/000024926/,finalized
1985,Haing S. Ngor,The Killing Fields,Best Supporting Actor,"Samrong Young, Cambodia",22-Mar-40,Asian,Buddhist,Straight,http://www.nndb.com/people/093/000063901/,finalized
1957,Yul Brynner,The King and I,Best Actor,"Vladivostok, Russia",11-Jul-20,White,Na,Straight,http://www.nndb.com/people/459/000026381/,finalized
2011,Colin Firth,The King's Speech,Best Actor,"Grayshott, Hampshire, England",10-Sep-60,White,Na,Straight,http://www.nndb.com/people/813/000043684/,finalized
1929,Emil Jannings,The Last Command,Best Actor,"Rorschach, Switzerland",23-Jul-1884,White,Na,Bisexual,http://www.nndb.com/people/738/000063549/,finalized
1988,Bernardo Bertolucci,The Last Emperor,Best Director,"Parma, Emilia-Romagna, Italy",16-Mar-41,White,Na,Straight,http://www.nndb.com/people/268/000024196/,finalized
2007,Forest Whitaker,The Last King of Scotland,Best Actor,"Longview, Tx",15-Jul-61,Black,Na,Straight,http://www.nndb.com/people/833/000025758/,finalized
1972,Ben Johnson,The Last Picture Show,Best Supporting Actor,"Shidler, Ok",13-Jun-18,White,Na,Straight,http://www.nndb.com/people/425/000064233/,finalized
1938,Joseph Schildkraut,The Life of Emile Zola,Best Supporting Actor,"Vienna, Austria",22-Mar-1896,White,Na,Straight,http://www.nndb.com/people/115/000063923/,finalized
1969,Katharine Hepburn,The Lion in Winter,Best Actress,"Hartford, Ct",12-May-07,White,Atheist,Bisexual,http://www.nndb.com/people/775/000023706/,finalized
2004,Peter Jackson,The Lord of the Rings: Return of the King,Best Director,"Wellington, New Zealand",31-Oct-61,White,Na,Straight,http://www.nndb.com/people/848/000025773/,finalized
1946,Ray Milland,The Lost Weekend,Best Actor,"Neath, Wales",3-Jan-07,White,Na,Straight,http://www.nndb.com/people/814/000042688/,finalized
1963,Anne Bancroft,The Miracle Worker,Best Actress,"Bronx, Ny",17-Sep-31,White,Roman Catholic,Straight,http://www.nndb.com/people/439/000023370/,finalized
1944,Charles Coburn,The More the Merrier,Best Supporting Actor,"Savannah, Ga",17-Jun-1877,White,Na,Straight,http://www.nndb.com/people/127/000063935/,finalized
1974,John Houseman,The Paper Chase,Best Supporting Actor,"Bucharest, Romania",22-Sep-02,White,Na,Straight,http://www.nndb.com/people/686/000042560/,finalized
2008,Marion Cotillard,The Passionate Life of Edith Piaf,Best Actress,"Paris, France",30-Sep-75,White,Na,Straight,http://www.nndb.com/people/723/000136315/,finalized
1941,Jimmy Stewart,The Philadelphia Story,Best Actor,"Indiana, Pa",20-May-08,White,Presbyterian,Straight,http://www.nndb.com/people/659/000026581/,finalized
2003,Adrien Brody,The Pianist,Best Actor,New York City,14-Apr-73,White,Jewish,Straight,http://www.nndb.com/people/112/000026034/,finalized
1994,Holly Hunter,The Piano,Best Actress,"Conyers, Ga",20-Mar-58,White,Na,Straight,http://www.nndb.com/people/566/000023497/,finalized
1970,Maggie Smith,The Prime of Miss Jean Brodie,Best Actress,"Ilford, Essex, England",28-Dec-34,White,Na,Straight,http://www.nndb.com/people/260/000030170/,finalized
1934,Charles Laughton,The Private Life of Henry VIII,Best Actor,"Victoria Hotel, Scarborough, Yorkshire, England",1-Jul-1899,White,Roman Catholic,Gay,http://www.nndb.com/people/884/000042758/,finalized
2007,Helen Mirren,The Queen,Best Actress,"Chiswick, London, England",26-Jul-45,White,Na,Straight,http://www.nndb.com/people/907/000044775/,finalized
1953,John Ford,The Quiet Man,Best Director,"Cape Elizabeth, Me",1-Feb-1894,White,Roman Catholic,Bisexual,http://www.nndb.com/people/458/000032362/,finalized
1947,Anne Baxter,The Razor's Edge,Best Supporting Actress,"Michigan City, In",7-May-23,White,Na,Straight,http://www.nndb.com/people/458/000026380/,finalized
2009,Kate Winslet,The Reader,Best Actress,"Reading, England",5-Oct-75,White,Na,Straight,http://www.nndb.com/people/582/000023513/,finalized
1956,Anna Magnani,The Rose Tattoo,Best Actress,"Rome, Italy",7-Mar-08,White,Na,Straight,http://www.nndb.com/people/806/000063617/,finalized
1992,Jodie Foster,The Silence of the Lambs,Best Actress,"Los Angeles, Ca",19-Nov-62,White,Atheist,Lesbian,http://www.nndb.com/people/756/000023687/,finalized
1932,Helen Hayes,The Sin of Madelon Claudet,Best Actress,"Washington, Dc",10-Oct-00,White,Na,Straight,http://www.nndb.com/people/908/000031815/,finalized
1944,Jennifer Jones,The Song of Bernadette,Best Actress,"Tulsa, Ok",2-Mar-19,White,Roman Catholic,Straight,http://www.nndb.com/people/809/000063620/,finalized
1966,Robert Wise,The Sound of Music,Best Director,"Winchester, In",10-Sep-14,White,Na,Straight,http://www.nndb.com/people/460/000032364/,finalized
1973,George Roy Hill,The Sting,Best Director,"Minneapolis, Mn",20-Dec-21,White,Na,Straight,http://www.nndb.com/people/783/000032687/,finalized
1937,Paul Muni,The Story of Louis Pasteur,Best Actor,"Lviv, Ukraine",22-Sep-1895,White,Jewish,Straight,http://www.nndb.com/people/741/000063552/,finalized
1969,Jack Albertson,The Subject Was Roses,Best Supporting Actor,"Malden, Ma",16-Jun-07,White,Na,Na,http://www.nndb.com/people/559/000049412/,finalized
1976,George Burns,The Sunshine Boys,Best Supporting Actor,New York City,20-Jan-1896,White,Jewish,Straight,http://www.nndb.com/people/895/000022829/,finalized
1958,Joanne Woodward,The Three Faces of Eve,Best Actress,"Thomasville, Ga",27-Feb-30,White,Na,Straight,http://www.nndb.com/people/747/000043618/,finalized
1949,Walter Huston,The Treasure of the Sierra Madre,Best Supporting Actor,"Toronto, Ontario, Canada",6-Apr-1884,White,Na,Straight,http://www.nndb.com/people/122/000063930/,finalized
1986,Geraldine Page,The Trip to Bountiful,Best Actress,"Kirksville, Mo",22-Nov-24,White,Na,Straight,http://www.nndb.com/people/780/000043651/,finalized
1988,Sean Connery,The Untouchables,Best Supporting Actor,"Edinburgh, Scotland",25-Aug-30,White,Roman Catholic,Straight,http://www.nndb.com/people/881/000022815/,finalized
1996,Kevin Spacey,The Usual Suspects,Best Supporting Actor,"South Orange, Nj",26-Jul-59,White,Na,Matter of Dispute,http://www.nndb.com/people/591/000023522/,finalized
1964,Margaret Rutherford,the V.I.P.s,Best Supporting Actress,"London, England",11-May-1892,White,Na,Straight,http://www.nndb.com/people/052/000063860/,finalized
1941,Walter Brennan,The Westerner,Best Supporting Actor,"Swampscott, Ma",25-Jul-1894,White,Na,Straight,http://www.nndb.com/people/347/000032251/,finalized
1984,Linda Hunt,The Year of Living Dangerously,Best Supporting Actress,"Morristown, Nj",2-Apr-45,White,Na,Na,http://www.nndb.com/people/671/000024599/,finalized
2008,Daniel Day-Lewis,There Will Be Blood,Best Actor,"London, England",29-Apr-57,White,Na,Straight,http://www.nndb.com/people/788/000022722/,finalized
1970,Gig Young,"They Shoot Horses, Don't They?",Best Supporting Actor,"St. Cloud, Mn",4-Nov-13,White,Na,Straight,http://www.nndb.com/people/110/000063918/,finalized
1998,James Cameron,Titanic,Best Director,"Kapuskasing, Ontario, Canada",16-Aug-54,White,Atheist,Straight,http://www.nndb.com/people/385/000025310/,finalized
1947,Olivia de Havilland,To Each His Own,Best Actress,"Tokyo, Japan",1-Jul-16,White,Na,Straight,http://www.nndb.com/people/741/000022675/,finalized
1963,Gregory Peck,To Kill a Mockingbird,Best Actor,"La Jolla, Ca",5-Apr-16,White,Roman Catholic,Straight,http://www.nndb.com/people/774/000023705/,finalized
1964,Tony Richardson,Tom Jones,Best Director,"Shipley, Yorkshire, England",5-Jun-28,White,Na,Bisexual,http://www.nndb.com/people/249/000043120/,finalized
1983,Jessica Lange,Tootsie,Best Supporting Actress,"Cloquet, Mn",20-Apr-49,White,Na,Straight,http://www.nndb.com/people/004/000022935/,finalized
1965,Peter Ustinov,Topkapi,Best Supporting Actor,"London, England",16-Apr-21,White,Na,Straight,http://www.nndb.com/people/810/000022744/,finalized
2001,Benicio Del Toro,Traffic,Best Supporting Actor,"Santurce, Puerto Rico",19-Feb-67,Hispanic,Na,Straight,http://www.nndb.com/people/087/000026009/,finalized
2002,Denzel Washington,Training Day,Best Actor,"Mount Vernon, Ny",28-Dec-54,Black,Protestant,Straight,http://www.nndb.com/people/665/000023596/,finalized
1970,John Wayne,True Grit,Best Actor,"Winterset, Ia",26-May-07,White,Roman Catholic,Straight,http://www.nndb.com/people/605/000023536/,finalized
1950,Dean Jagger,Twelve O'Clock High,Best Supporting Actor,"Lima, Oh",7-Nov-03,White,Na,Straight,http://www.nndb.com/people/121/000063929/,finalized
1927,Lewis Milestone,Two Arabian Knights,Best Director,"Chisinau, Moldova",30-Sep-1895,White,Na,Straight,http://www.nndb.com/people/320/000043191/,finalized
1962,Sophia Loren,Two Women,Best Actress,"Pozzuoli, Italy",20-Sep-34,White,Roman Catholic,Straight,http://www.nndb.com/people/811/000023742/,finalized
1993,Gene Hackman,Unforgiven,Best Supporting Actor,"San Bernardino, Ca",30-Jan-30,White,Na,Straight,http://www.nndb.com/people/878/000022812/,finalized
2009,Penelope Cruz,Vicky Cristina Barcelona,Best Supporting Actress,"Madrid, Spain",28-Apr-74,Hispanic,Buddhist,Straight,http://www.nndb.com/people/748/000025673/,finalized
1953,Anthony Quinn,Viva Zapata!,Best Supporting Actor,"Chihuahua, Mexico",21-Apr-15,Hispanic,Na,Straight,http://www.nndb.com/people/228/000032132/,finalized
2006,Reese Witherspoon,Walk the Line,Best Actress,"New Orleans, La",22-Mar-76,White,Na,Straight,http://www.nndb.com/people/813/000022747/,finalized
1988,Michael Douglas,Wall Street,Best Actor,"New Brunswick, Nj",25-Sep-44,White,Jewish,Straight,http://www.nndb.com/people/614/000024542/,finalized
1944,Paul Lukas,Watch on the Rhine,Best Actor,"Budapest, Hungary",26-May-1887,White,Na,Straight,http://www.nndb.com/people/713/000042587/,finalized
1962,George Chakiris,West Side Story,Best Supporting Actor,"Norwood, Oh",16-Sep-34,White,Na,Gay,http://www.nndb.com/people/119/000063927/,finalized
1967,Elizabeth Taylor,Who's Afraid of Virginia Woolf?,Best Actress,"London, England",27-Feb-32,White,Jewish,Straight,http://www.nndb.com/people/624/000023555/,finalized
1971,Glenda Jackson,Women in Love,Best Actress,"Birkenhead, Cheshire, England",9-May-36,White,Na,Straight,http://www.nndb.com/people/799/000063610/,finalized
1957,Dorothy Malone,Written on the Wind,Best Supporting Actress,"Chicago, Il",30-Jan-25,White,Na,Straight,http://www.nndb.com/people/090/000063898/,finalized
1943,James Cagney,Yankee Doodle Dandy,Best Actor,"Manhattan, Ny",17-Jul-1899,White,Roman Catholic,Straight,http://www.nndb.com/people/798/000024726/,finalized
1939,Frank Capra,You Can't Take It with You,Best Director,"Bisacquino, Sicily, Italy",18-May-1897,White,Roman Catholic,Straight,http://www.nndb.com/people/459/000032363/,finalized
1965,Lila Kedrova,Zorba the Greek,Best Supporting Actress,"St. Petersburg, Russia",9-Oct-18,White,Na,Straight,http://www.nndb.com/people/049/000063857/,finalized
2004,Prince Charles,Troy,Best Director,,,,,,,
1984,Lady Diana,Dune,Best Director,,,,,,,
2002,Princess Grace,Equilibrium,Best Director,,,,,,,
1991,,McBain,Best Director,,,,,,,
2002,,Hero,Best Director,,,,,,,
2000,,Versus,Best Director,,,,,,,
1998,,Blade,Best Director,,,,,,,
2002,,Blade II,Best Director,,,,,,,
1990,,Delta Force 2,Best Director,,,,,,,
1985,,Commando,Best Director,,,,,,,
1997,,The Fifth Element,Best Director,,,,,,,
1990,,Total Recall,Best Director,,,,,,,
1994,,True Lies,Best Director,,,,,,,
2005,,Sahara,Best Director,,,,,,,
1987,,Predator,Best Director,,,,,,,
1996,,Crash,Best Director,,,,,,,
2015,,Insurgent,Best Director,,,,,,,
2016,,Warcraft,Best Director,,,,,,,
2018,,Tomb Raider,Best Director,,,,,,,
2003,,Kill Bill: Vol. 1,Best Director,,,,,,,
2010,,Clash of the Titans,Best Director,,,,,,,
2012,,Battleship,Best Director,,,,,,,
2010,,The Expendables,Best Director,,,,,,,
2003,,Bad Boys II,Best Director,,,,,,,
1992,,Under Siege,Best Director,,,,,,,
2017,,Ghost in the Shell,Best Director,,,,,,,
2017,,Alien: Covenant,Best Director,,,,,,,
2016,,Batman v Superman: Dawn of Justice,Best Director,,,,,,,
