Rank,Body_Count,Film,Year
1,836,Lord of the Rings: Return of the King,2003
2,610,Kingdom of Heaven ,2005
3,600,300,2007
4,572,Troy,2004
5,558,The Last Samurai,2003
6,468,Lord of the Rings: Two Towers ,2002
7,310,Grindhouse: DoubleFeature,2007
8,307,Hard Boiled,1992
8Â ,307,Titanic ,1997
10,305,We Were Soldiers,2002
11,256,Starship Troopers,1997
12,255,Saving Private Ryan,1998
13,247,Rambo,2008
14,236,Equilibrium ,2002
15,214,Bullet in the Head,1990
16,199,A Better Tomorrow II,1987
17,187,Blood Diamond,2006
17,187,The Chronicles of Riddick,2004
19,186,Dune,1984
20,184,Braveheart,1995
21,181,McBain,1991
22,175,Dawn of the Dead_78,1978
23,172,The Last of the Mohicans ,1992
24,169,Lone Wolf and Cub: White Heaven in Hell,1974
25,155,The Mummy,1999
26,153,Pearl Harbor,2001
27,152,Hero,2002
28,151,Shoot 'Em Up,2007
29,149,The Killer ,1989
30,146,Invasion U.S.A.,1985
31,145,The Wild Bunch,1969
32,141,House of the Dead,2003
33,140,Blade: Trinity,2004
33,140,Zulu,1964
35,139,Kelly's Heroes,1970
36,131,Dawn of the Dead,2004
37,127,Rambo III,1988
37,127,Versus,2000
39,126,"The Good, the Bad and the Ugly",1966
40,124,Resident Evil: Extinction,2007
41,123,The Patriot,2000
41,123,Resident Evil: Apocalypse,2004
43,122,From Dusk Till Dawn,1996
44,120,Operation Delta Force,1997
44,120,The Outlaw Josey Wales,1976
46,119,Akira,1988
47,118,Red Dawn,1984
47,118,Lord of the Rings: Fellowship of the Ring,2001
49,115,Aliens vs. Predator: Requiem,2007
49,115,Star Wars III: Revenge of the Sith,2005
51,114,American Ninja,1985
51,114,Apocalypto,2006
51,114,Hot Shots! Part Deux,1993
54,111,Blade,1998
55,109,Bridge of Dragons,1999
55,109,A Fistful of Dollars,1964
57,107,Army of Darkness,1993
58,106,Platoon Leader,1988
59,105,The Scorpion King,2002
60,104,Red Scorpion ,1989
61,102,BloodRayne,2006
62,100,Missing in Action,2003
62,100,Where Eagles Dare,1968
64,99,Once Upon a Time in Mexico,2003
65,98,Blade II,2002
66,97,War,2007
67,96,The Punisher,1989
68,95,Kill Bill: Vol. 1,2003
69,93,Flags of Our Fathers,2006
70,92,Delta Force 2,1990
71,91,Ritana,2002
71,91,You Only Live Twice,1967
73,90,Pirates of the Caribbean: Dead Man's Chest ,2006
74,88,Commando,1985
75,86,"The Lion, the Witch, & the Wardrobe",2005
76,84,Letters from Iwo Jima,2006
76,84,Raiders of the Lost Ark ,1981
78,80,Desperado,1995
78,80,The Fifth Element,1997
80,78,Team America,2004
81,77,Children of Men,2006
81,77,Gladiator,2000
81,77,Total Recall ,1990
84,76,Indiana Jones & the Kingdom of the Crystal Skull,2008
85,75,Star Wars IV: A New Hope,1977
85,75,XXX,2002
87,74,Serenity,2005
87,74,Sweepers,1998
89,73,"War, Inc.",2008
90,71,The Spy Who Loved Me,1977
90,71,True Lies,1994
92,69,Star Wars VI: Return of the Jedi,1983
93,68,The Long Kiss Goodnight,1996
93,68,Sahara,2005
95,67,Rambo: First Blood Part II,1985
96,66,xXx: State of the Union ,2005
97,65,A Better Tomorrow,1986
97,65,Timeline,2003
97,65,Under Siege,1992
100,64,Predator,1987
101,63,Bad Boys II,2003
,45,The Expendables,2010
,7,Battleship,2012
,50,Clash of the Titans,2010
,19,Ghost in the Shell,2017
,38,Alien: Covenant,2017
,55,Batman v Superman: Dawn of Justice,2016
